[2025-07-11T17:32:59,584Z] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2025-07-11T17:33:03,492Z] <device-state-check> DEBUG tasks  - Started task[device-state-check]
[2025-07-11T17:33:03,494Z] <device-state-check> DEBUG tasks  - Finished task[device-state-check] in 2 ms
[2025-07-11T17:33:04,451Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:33:04,452Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 1 ms
[2025-07-11T17:33:04,544Z] <stamgr> DEBUG tasks  - Started task[stamgr]
[2025-07-11T17:33:04,544Z] <stamgr> DEBUG tasks  - Finished task[stamgr] in 0 ms
[2025-07-11T17:33:04,584Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:33:04,584Z] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2025-07-11T17:33:04,732Z] <webrtc-connection> DEBUG tasks  - Started task[webrtc-connection]
[2025-07-11T17:33:04,732Z] <webrtc-connection> DEBUG tasks  - Finished task[webrtc-connection] in 0 ms
[2025-07-11T17:33:09,452Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:33:09,452Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 0 ms
[2025-07-11T17:33:09,584Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:33:09,584Z] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2025-07-11T17:33:14,452Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:33:14,453Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 1 ms
[2025-07-11T17:33:14,584Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:33:14,585Z] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2025-07-11T17:33:19,453Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:33:19,453Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 0 ms
[2025-07-11T17:33:19,585Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:33:19,585Z] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2025-07-11T17:33:24,428Z] <traffic-flows-throughput> DEBUG tasks  - Started task[traffic-flows-throughput]
[2025-07-11T17:33:24,428Z] <traffic-flows-throughput> INFO  tasks  - Traffic Flows throughput: 0 incoming flow events in last 60000ms. (0.0/fps)
[2025-07-11T17:33:24,429Z] <traffic-flows-throughput> DEBUG tasks  - Finished task[traffic-flows-throughput] in 1 ms
[2025-07-11T17:33:24,453Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:33:24,453Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 0 ms
[2025-07-11T17:33:24,541Z] <tomcat-monitor> DEBUG tasks  - Started task[tomcat-monitor]
[2025-07-11T17:33:24,541Z] <tomcat-monitor> INFO  tasks  - connector[API] executor - working=0/200, peak=6, waiting=0/1000, completed=120
[2025-07-11T17:33:24,541Z] <tomcat-monitor> INFO  tasks  - connector[INFORM] executor - working=0/200, peak=1, waiting=0/200, completed=2
[2025-07-11T17:33:24,541Z] <tomcat-monitor> INFO  tasks  - connector[PORTAL] executor - working=0/200, peak=0, waiting=0/1000, completed=0
[2025-07-11T17:33:24,541Z] <tomcat-monitor> DEBUG tasks  - Finished task[tomcat-monitor] in 0 ms
[2025-07-11T17:33:24,585Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:33:24,587Z] <tracer> DEBUG tasks  - Finished task[tracer] in 2 ms
[2025-07-11T17:33:29,454Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
